restaurant_id,restaurant_name,restaurant_address,restaurant_category_id,restaurant_image
75,윤화돈까스기사식당,서울특별시 강남구 역삼동 787-12 셀라빌딩 787-12 셀라빌딩 1층,3,static/img/윤화돈까스기사식당.jpg
76,생생돈까스-논현점,서울특별시 강남구 논현동 122-3 122-3 2층,3,static/img/생생돈까스-논현점.jpg
77,카레와,서울 강남구 논현동 218-10 1층,3,static/img/카레와.jpg
78,강남장인,서울 강남구 신사동 510-11 강남상가아파트 1층 제 45 N15호,3,static/img/강남장인.jpg
79,사보텐-교대점,서울특별시 서초구 서초동 1691-2 1691-2 1층,3,static/img/사보텐-교대점.jpg
80,가츠몽-역삼점,서울특별시 강남구 역삼동 761-18 강남프라자 강남프라자 1층 107호,3,static/img/가츠몽-역삼점.jpg
81,소풍김밥-역삼점,서울특별시 강남구 역삼동 828-21 뜨라네 828-21 뜨라네 1층 107호,3,static/img/소풍김밥-역삼점.jpg
82,소연이네,"서울 서초구 잠원동 37-9 논현빌딩 지하1호,2호",3,static/img/소연이네.jpg
83,아오리의행방불명-강남점,서울특별시 강남구 역삼동 837-26 삼일프라자오피스텔 837-26 삼일프라자오피스텔 1층 105호,3,static/img/아오리의행방불명-강남점.jpg
84,시올돈-도곡점,서울특별시 강남구 역삼동 788-24 1층 101호,3,static/img/시올돈-도곡점.jpg
85,최스시-반포점,서울특별시 서초구 반포동 54-14 지하1층,3,static/img/최스시-반포점.jpg
86,사보텐-신논현점,서울특별시 서초구 서초동 1303-16 강남역 IPARK 1303-16 강남역 IPARK 지하1층 B107-B109,3,static/img/사보텐-신논현점.jpg
87,강남옛날돈까스즉석떡볶이,서울특별시 강남구 논현동 89-18 대영빌딩 89-18 대영빌딩 2층,3,static/img/강남옛날돈까스즉석떡볶이.jpg
88,숙성회136-강남직영점,서울특별시 강남구 역삼동 656-3 지상1층,3,static/img/숙성회136-강남직영점.jpg
89,사보텐-아워홈빌딩점,서울특별시 강남구 역삼동 830-24 아워홈 역삼빌딩 830-24 서정빌딩 지상1층,3,static/img/사보텐-아워홈빌딩점.jpg
90,코이라멘-서초점,서울특별시 서초구 서초동 1344-13 서초트라팰리스 서초트라팰리스,3,static/img/코이라멘-서초점.jpg
91,도곡수산,서울특별시 강남구 역삼동 765-1 765-1 동측1호지상1층,3,static/img/도곡수산.jpg
92,우아한돈부리,서울특별시 서초구 서초동 1338-20 현대렉시온 지하1층 비 111호,3,static/img/우아한돈부리.jpg
93,사보텐-선릉역점,서울특별시 강남구 역삼동 707-5 메트라이프타워 707-4 메트라이프타워 1층,3,static/img/사보텐-선릉역점.jpg
94,핵밥-강남역점,서울특별시 강남구 역삼동 826-27 제이스타워 826-27,3,static/img/핵밥-강남역점.jpg
95,아비꼬-교대역점,서울특별시 서초구 서초동 1671-5 서초리시온 1층 111호,3,static/img/아비꼬-교대역점.jpg
96,소노야-강남역점,서울특별시 강남구 역삼동 858 강남역 역삼역,3,static/img/소노야-강남역점.jpg
97,아메리칸피자-강남논현점,서울특별시 강남구 논현동 198-10 198-10 1층,4,static/img/아메리칸피자-강남논현점.jpg
98,파스토보이-역삼점,서울 강남구 역삼동 644-18 2층,4,static/img/파스토보이-역삼점.jpg
99,오케이치킨&피자-논현점,서울특별시 강남구 논현동 63-14 A동 1층,4,static/img/오케이치킨&피자-논현점.jpg
100,46이너스피자,서울특별시 강남구 삼성동 34-25 지상 2층 1호,4,static/img/46이너스피자.jpg
101,잭슨피자-서초점,서울특별시 서초구 서초동 1678-1 서초동 동아빌라트 1678-1 서초동 동아빌라트 1타운1층101호,4,static/img/잭슨피자-서초점.jpg
102,반올림피자샵-강남2호점,서울 강남구 삼성동 10-26 101호,4,static/img/반올림피자샵-강남2호점.jpg
